commentary,Player,Team
Fouled by Mikel Merino  - Newcastle United,,
Danny Simpson  - Leicester City -  won a free kick in attack.,,
"Second Half starts Newcastle United 1, Leicester City 1.",,
"First Half ended - Newcastle United 1, Leicester City 1.",,
Joselu  - Newcastle United -  won a free kick in defence.,,
Fouled by Vicente Iborra  - Leicester City,,
Corner -  Leicester City. Conceded by Ciaran Clark.,,
"Offside - Leicester City. Vicente Iborra with a pass, however Jamie Vardy is in offside.",,
Fouled by Isaac Hayden  - Newcastle United,,
Ben Chilwell  - Leicester City -  won a free kick in defence.,,
Corner -  Newcastle United. Conceded by Wilfred Ndidi.,,
New attacking attempt. Matt Ritchie  - Newcastle United -  shot with left foot from outside the box is saved by goalkeeper in the centre of the goal. Assist -  Mikel Merino.,,
Fouled by Harry Maguire  - Leicester City,,
Dwight Gayle  - Newcastle United -  won a free kick in attack.,,
Corner -  Newcastle United. Conceded by Kasper Schmeichel.,,
New attacking attempt. Jacob Murphy  - Newcastle United -  shot with right foot from outside the box is saved in the right corner.,,
Wes Morgan  - Leicester City -  won a free kick in attack.,,
Fouled by Joselu  - Newcastle United,,
Missed chance. Jamie Vardy  - Leicester City -  shot with right foot from the right side of the box is high and wide to the left. Assist -  Wilfred Ndidi.,,
Missed chance. Danny Simpson  - Leicester City -  shot with the head from the right side of the box is high and wide to the right. Assist -  Ben Chilwell with a cross.,,
"Missed chance. Danny Simpson  - Leicester City -  shot with right foot from the right side of the six yard box is close, but missed. Assist -  Demarai Gray with a cross.",,
"Offside - Leicester City. Marc Albrighton with a pass, however Jamie Vardy is in offside.",,
New attacking attempt. Marc Albrighton  - Leicester City -  shot with right foot from outside the box is saved in the left corner. Assist -  Riyad Mahrez.,,
Fouled by Wilfred Ndidi  - Leicester City,,
Dwight Gayle  - Newcastle United -  won a free kick in defence.,,
"Goal!  Newcastle United 1, Leicester City 1. Riyad Mahrez  - Leicester City -  shot with left foot from outside the box to the top right corner. Assist -  Wilfred Ndidi.",,
"Missed chance. Demarai Gray  - Leicester City -  shot with right foot from outside the box is close, but missed. Assist -  Jamie Vardy.",,
Missed chance. Wilfred Ndidi  - Leicester City -  shot with right foot from outside the box missed to the left. Assist -  Riyad Mahrez.,,
Missed chance. Jacob Murphy  - Newcastle United -  shot with right foot from more than 35 yards missed to the left. Assist -  Matt Ritchie.,,
Missed chance. Demarai Gray  - Leicester City -  shot with right foot from outside the box is high and wide to the right. Assist -  Harry Maguire.,,
Demarai Gray  - Leicester City -  receive yellow card.,,
Mikel Merino  - Newcastle United -  won a free kick in defence.,,
Dangerous play by Demarai Gray  - Leicester City,,
Corner -  Leicester City. Conceded by Karl Darlow.,,
New attacking attempt. Demarai Gray  - Leicester City -  shot with right foot from the right side of the box is saved in the right corner. Assist -  Riyad Mahrez.,,
"Missed chance. Dwight Gayle  - Newcastle United -  shot with left foot from outside the box is close, but missed. Assist -  Mikel Merino.",,
"Goal!  Newcastle United 1, Leicester City 0. Joselu  - Newcastle United -  shot with right foot from the centre of the box to the centre of the goal. Assist -  Dwight Gayle.",,
Corner -  Newcastle United. Conceded by Ben Chilwell.,,
Matt Ritchie  - Newcastle United -  won a free kick on the right wing.,,
Fouled by Ben Chilwell  - Leicester City,,
"Second Half ended - Southampton 1, Arsenal 1.",,
New attacking attempt. Aaron Ramsey  - Arsenal -  shot with left foot from the centre of the box is saved in the right corner. Assist -  Sead Kolasinac with a cross.,,
Sead Kolasinac  - Arsenal -  won a free kick in defence.,,
Fouled by Pierre-Emile Højbjerg  - Southampton,,
Corner -  Southampton. Conceded by Mesut Özil.,,
Shot blocked. Pierre-Emile Højbjerg  - Southampton -  shot with right foot from outside the box is blocked. Assist -  Sofiane Boufal.,,
Jack Wilshere  - Arsenal -  receive yellow card for a foul.,,
Manolo Gabbiadini  - Southampton -  won a free kick in defence.,,
Fouled by Jack Wilshere  - Arsenal,,
Laurent Koscielny  - Arsenal -  won a free kick in defence.,,
Fouled by Manolo Gabbiadini  - Southampton,,
Substitution -  Southampton. Steven Davis for Dusan Tadic.,,
"Goal!  Southampton 1, Arsenal 1. Olivier Giroud  - Arsenal -  shot with the head from the centre of the box to the right corner. Assist -  Alexis Sánchez with a cross.",,
Substitution -  Southampton. Manolo Gabbiadini for Charlie Austin.,,
New attacking attempt. Alexis Sánchez  - Arsenal -  shot with right foot from outside the box is saved in the left corner.,,
Oriol Romeu  - Southampton -  receive yellow card for a foul.,,
Jack Wilshere  - Arsenal -  won a free kick in attack.,,
Fouled by Oriol Romeu  - Southampton,,
"Offside - Southampton. Sofiane Boufal with a pass, however Charlie Austin is in offside.",,
Jack Stephens  - Southampton -  receive yellow card.,,
Corner -  Arsenal. Conceded by Ryan Bertrand.,,
Héctor Bellerín  - Arsenal -  receive yellow card for a foul.,,
Sofiane Boufal  - Southampton -  won a free kick in attack.,,
Fouled by Héctor Bellerín  - Arsenal,,
Fouled by Héctor Bellerín  - Arsenal,,
Charlie Austin  - Southampton -  won a free kick in defence.,,
Virgil van Dijk  - Southampton -  won a free kick on the left wing.,,
Fouled by Danny Welbeck  - Arsenal,,
Substitution -  Southampton. Sofiane Boufal for Nathan Redmond.,,
Substitution -  Arsenal. Olivier Giroud for Alexandre Lacazette.,,
Jack Wilshere  - Arsenal -  won a free kick in defence.,,
Fouled by Dusan Tadic  - Southampton,,
Fouled by Dusan Tadic  - Southampton,,
Aaron Ramsey  - Arsenal -  won a free kick in defence.,,
"Offside - Arsenal. Jack Wilshere with a pass, however Mesut Özil is in offside.",,
Substitution -  Arsenal. Jack Wilshere for Granit Xhaka.,,
"Missed chance. Nacho Monreal  - Arsenal -  shot with left foot from outside the box is close, but missed to the left after corner.",,
Corner -  Arsenal. Conceded by Ryan Bertrand.,,
Missed chance. Ryan Bertrand  - Southampton -  shot with left foot from the centre of the box missed. Assist -  Dusan Tadic.,,
Substitution -  Arsenal. Danny Welbeck for Per Mertesacker.,,
Fouled by Nacho Monreal  - Arsenal,,
Dusan Tadic  - Southampton -  won a free kick in attack.,,
Oriol Romeu  - Southampton -  hits the bar with a shot with right foot from outside the box. Assist -  Ryan Bertrand.,,
"Missed chance. Granit Xhaka  - Arsenal -  shot with left foot from outside the box is close, but missed to the left after corner.",,
Corner -  Arsenal. Conceded by Jack Stephens.,,
Missed chance. Aaron Ramsey  - Arsenal -  shot with right foot from outside the box missed to the left. Assist -  Alexandre Lacazette.,,
New attacking attempt. Nathan Redmond  - Southampton -  shot with right foot from outside the box is saved by goalkeeper in the centre of the goal. Assist -  Dusan Tadic.,,
"Second Half starts Southampton 1, Arsenal 0.",,
"First Half ended - Southampton 1, Arsenal 0.",,
Per Mertesacker  - Arsenal -  won a free kick in attack.,,
Fouled by Dusan Tadic  - Southampton,,
Fouled by Alexis Sánchez  - Arsenal,,
Dusan Tadic  - Southampton -  won a free kick in defence.,,
Missed chance. Alexandre Lacazette  - Arsenal -  shot with right foot from the centre of the box is high and wide to the right. Assist -  Héctor Bellerín.,,
Pierre-Emile Højbjerg  - Southampton -  won a free kick in defence.,,
Fouled by Alexandre Lacazette  - Arsenal,,
New attacking attempt. Aaron Ramsey  - Arsenal -  shot with right foot from the centre of the box is saved in the right corner. Assist -  Alexis Sánchez.,,
Shot blocked. Mesut Özil  - Arsenal -  shot with left foot from outside the box is blocked. Assist -  Granit Xhaka.,,
Corner -  Arsenal. Conceded by Virgil van Dijk.,,
Mesut Özil  - Arsenal -  won a free kick in attack.,,
Fouled by Pierre-Emile Højbjerg  - Southampton,,
Corner -  Southampton. Conceded by Granit Xhaka.,,
Corner -  Southampton. Conceded by Petr Cech.,,
Ryan Bertrand  - Southampton -  won a free kick on the left wing.,,
Fouled by Granit Xhaka  - Arsenal,,
New attacking attempt. Aaron Ramsey  - Arsenal -  shot with right foot from the left side of the box is saved in the left corner. Assist -  Alexis Sánchez.,,
Hand ball by Jack Stephens  - Southampton,,
Hand ball by Granit Xhaka  - Arsenal,,
Corner -  Arsenal. Conceded by Pierre-Emile Højbjerg.,,
Corner -  Southampton. Conceded by Laurent Koscielny.,,
New attacking attempt. Alexandre Lacazette  - Arsenal -  shot with right foot from the centre of the box is saved by goalkeeper in the centre of the goal. Assist -  Granit Xhaka with a head.,,
Fouled by Dusan Tadic  - Southampton,,
Aaron Ramsey  - Arsenal -  won a free kick in attack.,,
Fouled by Jack Stephens  - Southampton,,
Alexis Sánchez  - Arsenal -  won a free kick in defence.,,
Fouled by Dusan Tadic  - Southampton,,
Alexis Sánchez  - Arsenal -  won a free kick in attack.,,
Fouled by Virgil van Dijk  - Southampton,,
Alexandre Lacazette  - Arsenal -  won a free kick in attack.,,
"Offside - Southampton. Ryan Bertrand with a pass, however Charlie Austin is in offside.",,
"Offside - Southampton. Nathan Redmond with a pass, however Charlie Austin is in offside.",,
New attacking attempt. Charlie Austin  - Southampton -  shot with right foot from the right side of the box is saved in the left corner. Assist -  Dusan Tadic with a through ball.,,
Pierre-Emile Højbjerg  - Southampton -  won a free kick in defence.,,
Fouled by Aaron Ramsey  - Arsenal,,
"Goal!  Southampton 1, Arsenal 0. Charlie Austin  - Southampton -  shot with right foot from the centre of the box to the centre of the goal. Assist -  Dusan Tadic.",,
"Offside - Southampton. James Ward-Prowse with a pass, however Dusan Tadic is in offside.",,
"Thats all. Game finished -  Swansea City 1, West Bromwich Albion 0.",,
"Second Half ended - Swansea City 1, West Bromwich Albion 0.",,
Jordan Ayew  - Swansea City -  won a free kick on the right wing.,,
Fouled by Kieran Gibbs  - West Bromwich Albion,,
Roque Mesa  - Swansea City -  won a free kick in defence.,,
Fouled by Claudio Yacob  - West Bromwich Albion,,
"Missed chance. Tammy Abraham  - Swansea City -  shot with right foot from outside the box is close, but missed to the left. Assist -  Roque Mesa following a fast break.",,
Shot blocked. Jordan Ayew  - Swansea City -  shot with right foot from the left side of the box is blocked. Assist -  Ki Sung-yueng.,,
Chris Brunt  - West Bromwich Albion -  receive yellow card for a foul.,,
Wilfried Bony  - Swansea City -  won a free kick in attack.,,
Fouled by Chris Brunt  - West Bromwich Albion,,
Ki Sung-yueng  - Swansea City -  won a free kick in defence.,,
Fouled by Oliver Burke  - West Bromwich Albion,,
Roque Mesa  - Swansea City -  receive yellow card.,,
Jake Livermore  - West Bromwich Albion -  won a free kick in attack.,,
Fouled by Roque Mesa  - Swansea City,,
New attacking attempt. Wilfried Bony  - Swansea City -  shot with the head from the centre of the box is saved in the right corner.,,
Jonny Evans  - West Bromwich Albion -  receive yellow card for a foul.,,
Tammy Abraham  - Swansea City -  won a free kick on the right wing.,,
Fouled by Jonny Evans  - West Bromwich Albion,,
Missed chance. Salomón Rondón  - West Bromwich Albion -  shot with the head from the centre of the box is very close to the goal. Assist -  James McClean with a cross.,,
Substitution -  West Bromwich Albion. Chris Brunt for Jay Rodriguez.,,
"Goal!  Swansea City 1, West Bromwich Albion 0. Wilfried Bony  - Swansea City -  shot with right foot from the centre of the box to the top right corner after corner.",,
Shot blocked. Tammy Abraham  - Swansea City -  shot with the head from the right side of the six yard box is blocked. Assist -  Ki Sung-yueng with a cross.,,
Corner -  Swansea City. Conceded by Jake Livermore.,,
Shot blocked. Roque Mesa  - Swansea City -  shot with right foot from outside the box is blocked.,,
Corner -  Swansea City. Conceded by Jonny Evans.,,
Substitution -  West Bromwich Albion. Oliver Burke for Hal Robson-Kanu.,,
Hal Robson-Kanu  - West Bromwich Albion -  receive yellow card.,,
"Missed chance. Tammy Abraham  - Swansea City -  shot with right foot from the centre of the box is close, but missed. Assist -  Ki Sung-yueng with a cross after corner.",,
Corner -  Swansea City. Conceded by Allan Nyom.,,
Substitution -  Swansea City. Tammy Abraham for Tom Carroll.,,
Corner -  Swansea City. Conceded by Ben Foster.,,
New attacking attempt. Jordan Ayew  - Swansea City -  shot with right foot from the left side of the box is saved in the left corner. Assist -  Tom Carroll.,,
Corner -  Swansea City. Conceded by Jonny Evans.,,
Wilfried Bony  - Swansea City -  won a free kick in defence.,,
Fouled by Jake Livermore  - West Bromwich Albion,,
Missed chance. Ahmed Hegazi  - West Bromwich Albion -  shot with right foot from outside the box missed to the left.,,
Shot blocked. Jordan Ayew  - Swansea City -  shot with right foot from outside the box is blocked. Assist -  Tom Carroll.,,
Kyle Naughton  - Swansea City -  won a free kick in attack.,,
Fouled by Jonny Evans  - West Bromwich Albion,,
Substitution -  Swansea City. Luciano Narsingh for Nathan Dyer.,,
Shot blocked. Jordan Ayew  - Swansea City -  shot with right foot from outside the box is blocked. Assist -  Alfie Mawson.,,
Shot blocked. Tom Carroll  - Swansea City -  shot with left foot from outside the box is blocked.,,
Wilfried Bony  - Swansea City -  won a free kick in attack.,,
Fouled by Claudio Yacob  - West Bromwich Albion,,
Corner -  West Bromwich Albion. Conceded by Martin Olsson.,,
Corner -  West Bromwich Albion. Conceded by Mike van der Hoorn.,,
Shot blocked. Salomón Rondón  - West Bromwich Albion -  shot with right foot from the right side of the box is blocked. Assist -  Allan Nyom.,,
Shot blocked. Salomón Rondón  - West Bromwich Albion -  shot with right foot from the right side of the box is blocked. Assist -  Allan Nyom.,,
Missed chance. Jordan Ayew  - Swansea City -  shot with right foot from outside the box goes high. Assist -  Ki Sung-yueng.,,
Substitution -  Swansea City. Jordan Ayew for Wayne Routledge.,,
"Missed chance. Wilfried Bony  - Swansea City -  shot with right foot from outside the box is close, but missed to the left. Assist -  Roque Mesa.",,
Roque Mesa  - Swansea City -  won a free kick in defence.,,
Fouled by Salomón Rondón  - West Bromwich Albion,,
Tom Carroll  - Swansea City -  receive yellow card for a foul.,,
Hal Robson-Kanu  - West Bromwich Albion -  won a free kick on the right wing.,,
Fouled by Tom Carroll  - Swansea City,,
Ki Sung-yueng  - Swansea City -  won a free kick in defence.,,
Fouled by Jonny Evans  - West Bromwich Albion,,
Substitution -  West Bromwich Albion. James McClean for Sam Field.,,
"Second Half starts Swansea City 0, West Bromwich Albion 0.",,
"First Half ended - Swansea City 0, West Bromwich Albion 0.",,
Martin Olsson  - Swansea City -  won a free kick in defence.,,
Fouled by Hal Robson-Kanu  - West Bromwich Albion,,
"Offside - West Bromwich Albion. Jake Livermore with a pass, however Hal Robson-Kanu is in offside.",,
Corner -  West Bromwich Albion. Conceded by Mike van der Hoorn.,,
Shot blocked. Jay Rodriguez  - West Bromwich Albion -  shot with left foot from the left side of the box is blocked. Assist -  Jake Livermore.,,
Missed chance. Martin Olsson  - Swansea City -  shot with right foot from outside the box is high and wide to the left.,,
Missed chance. Alfie Mawson  - Swansea City -  shot with the head from the centre of the box is very close to the goal. Assist -  Wayne Routledge with a cross.,,
Ki Sung-yueng  - Swansea City -  won a free kick on the right wing.,,
Fouled by Jonny Evans  - West Bromwich Albion,,
Nathan Dyer  - Swansea City -  won a free kick in defence.,,
Fouled by Claudio Yacob  - West Bromwich Albion,,
Sam Field  - West Bromwich Albion -  receive yellow card for a foul.,,
Ki Sung-yueng  - Swansea City -  won a free kick in defence.,,
Fouled by Sam Field  - West Bromwich Albion,,
Missed chance. Kyle Naughton  - Swansea City -  shot with right foot from outside the box goes high. Assist -  Nathan Dyer.,,
Roque Mesa  - Swansea City -  won a free kick in defence.,,
Fouled by Jay Rodriguez  - West Bromwich Albion,,
Delay over. They are ready to continue.,,
Delay in match Kieran Gibbs  - West Bromwich Albion -   - injury.,,
Jonny Evans  - West Bromwich Albion -  won a free kick in defence.,,
Fouled by Ki Sung-yueng  - Swansea City,,
Mike van der Hoorn  - Swansea City -  won a free kick in defence.,,
Fouled by Salomón Rondón  - West Bromwich Albion,,
Roque Mesa  - Swansea City -  won a free kick in attack.,,
Fouled by Jay Rodriguez  - West Bromwich Albion,,
Shot blocked. Nathan Dyer  - Swansea City -  shot with left foot from the right side of the box is blocked.,,
New attacking attempt. Jay Rodriguez  - West Bromwich Albion -  shot with right foot from outside the box is saved in the left corner. Assist -  Kieran Gibbs.,,
Jake Livermore  - West Bromwich Albion -  won a free kick in defence.,,
Fouled by Wayne Routledge  - Swansea City,,
Fouled by Nathan Dyer  - Swansea City,,
Ahmed Hegazi  - West Bromwich Albion -  won a free kick in attack.,,
Claudio Yacob  - West Bromwich Albion -  receive yellow card for a foul.,,
Nathan Dyer  - Swansea City -  won a free kick in attack.,,
Fouled by Claudio Yacob  - West Bromwich Albion,,
Jonny Evans  - West Bromwich Albion -  won a free kick in defence.,,
Fouled by Wayne Routledge  - Swansea City,,
"Offside - Swansea City. Lukasz Fabianski with a pass, however Wilfried Bony is in offside.",,
"Offside - West Bromwich Albion. Allan Nyom with a pass, however Salomón Rondón is in offside.",,
Jay Rodriguez  - West Bromwich Albion -  won a free kick on the left wing.,,
Fouled by Kyle Naughton  - Swansea City,,
"Missed chance. Jonny Evans  - West Bromwich Albion -  shot with the head from the centre of the box is close, but missed to the left. Assist -  Sam Field with a cross .",,
Jay Rodriguez  - West Bromwich Albion -  won a free kick in attack.,,
Fouled by Mike van der Hoorn  - Swansea City,,
Missed chance. Alfie Mawson  - Swansea City -  shot with the head from the centre of the box is high and wide to the right. Assist -  Ki Sung-yueng with a cross after corner.,,
Corner -  Swansea City. Conceded by Allan Nyom.,,
"Thats all. Game finished -  Tottenham Hotspur 5, Stoke City 1.",,
"Second Half ended - Tottenham Hotspur 5, Stoke City 1.",,
Shot blocked. Fernando Llorente  - Tottenham Hotspur -  shot with right foot from outside the box is blocked. Assist -  Ben Davies.,,
Corner -  Tottenham Hotspur. Conceded by Kevin Wimmer.,,
Fouled by Geoff Cameron  - Stoke City,,
Fernando Llorente  - Tottenham Hotspur -  won a free kick in attack.,,
Missed chance. Ben Davies  - Tottenham Hotspur -  shot with left foot from outside the box missed. Assist -  Christian Eriksen after corner.,,
Corner -  Tottenham Hotspur. Conceded by Jack Butland.,,
New attacking attempt. Harry Kane  - Tottenham Hotspur -  shot with right foot from the centre of the box is saved by goalkeeper in the centre of the goal. Assist -  Erik Lamela with a through ball.,,
Geoff Cameron  - Stoke City -  won a free kick in defence.,,
Fouled by Erik Lamela  - Tottenham Hotspur,,
Hand ball by Mame Biram Diouf  - Stoke City,,
Missed chance. Erik Lamela  - Tottenham Hotspur -  shot with the head from the centre of the box goes high. Assist -  Kieran Trippier with a cross.,,
Corner -  Tottenham Hotspur. Conceded by Geoff Cameron.,,
Substitution -  Tottenham Hotspur. Fernando Llorente for Son Heung-Min.,,
"Offside - Tottenham Hotspur. Christian Eriksen with a pass, however Harry Kane is in offside.",,
Jan Vertonghen  - Tottenham Hotspur -  won a free kick in defence.,,
Fouled by Peter Crouch  - Stoke City,,
"Offside - Tottenham Hotspur. Christian Eriksen with a pass, however Harry Kane is in offside.",,
Corner -  Tottenham Hotspur. Conceded by Jack Butland.,,
New attacking attempt. Christian Eriksen  - Tottenham Hotspur -  shot with right foot from the centre of the box is saved by goalkeeper in the centre of the goal. Assist -  Son Heung-Min.,,
"Goal!  Tottenham Hotspur 5, Stoke City 1. Ryan Shawcross  - Stoke City -  shot with the head from the centre of the box to the right corner. Assist -  Darren Fletcher with a cross after corner.",,
Substitution -  Stoke City. Ibrahim Afellay for Joe Allen.,,
Corner -  Stoke City. Conceded by Jan Vertonghen.,,
Substitution -  Tottenham Hotspur. Moussa Sissoko for Harry Winks.,,
Mame Biram Diouf  - Stoke City -  won a free kick on the right wing.,,
Fouled by Harry Winks  - Tottenham Hotspur,,
Substitution -  Stoke City. Geoff Cameron for Xherdan Shaqiri.,,
"Goal!  Tottenham Hotspur 5, Stoke City 0. Christian Eriksen  - Tottenham Hotspur -  shot with left foot from the centre of the box to the right corner. Assist -  Son Heung-Min with a through ball following a fast break.",,
Corner -  Stoke City. Conceded by Ben Davies.,,
New attacking attempt. Erik Lamela  - Tottenham Hotspur -  shot with left foot from few metres is saved in the right corner. Assist -  Son Heung-Min.,,
Substitution -  Stoke City. Peter Crouch for Thomas Edwards.,,
Son Heung-Min  - Tottenham Hotspur -  won a free kick in attack.,,
Fouled by Joe Allen  - Stoke City,,
Corner -  Tottenham Hotspur. Conceded by Jack Butland.,,
Shot blocked. Harry Kane  - Tottenham Hotspur -  shot with left foot from the centre of the box is blocked. Assist -  Erik Lamela.,,
"Offside - Tottenham Hotspur. Christian Eriksen with a pass, however Harry Kane is in offside.",,
Substitution -  Tottenham Hotspur. Erik Lamela for Dele Alli.,,
Mousa Dembélé  - Tottenham Hotspur -  receive yellow card for a foul.,,
Joe Allen  - Stoke City -  won a free kick in defence.,,
Fouled by Mousa Dembélé  - Tottenham Hotspur,,
"Goal!  Tottenham Hotspur 4, Stoke City 0. Harry Kane  - Tottenham Hotspur -  shot with left foot from outside the box to the left corner.",,
Kurt Zouma  - Stoke City -  won a free kick in defence.,,
Fouled by Harry Winks  - Tottenham Hotspur,,
Corner -  Stoke City. Conceded by Kieran Trippier.,,
Corner -  Stoke City. Conceded by Eric Dier.,,
New attacking attempt. Xherdan Shaqiri  - Stoke City -  shot with right foot from the centre of the box is saved in the left corner. Assist -  Mame Biram Diouf.,,
Missed chance. Harry Kane  - Tottenham Hotspur -  shot with right foot from outside the box missed. Assist -  Son Heung-Min.,,
Missed chance. Mousa Dembélé  - Tottenham Hotspur -  shot with left foot from outside the box missed to the left. Assist -  Son Heung-Min.,,
"Goal!  Tottenham Hotspur 3, Stoke City 0. Harry Kane  - Tottenham Hotspur -  shot with the head from the centre of the box to the centre of the goal. Assist -  Ben Davies with a cross after corner.",,
Corner -  Tottenham Hotspur. Conceded by Jack Butland.,,
"Goal!  Tottenham Hotspur 2, Stoke City 0. Son Heung-Min  - Tottenham Hotspur -  shot with right foot from the centre of the box to the right corner. Assist -  Dele Alli with a through ball.",,
Mame Biram Diouf  - Stoke City -  won a free kick in defence.,,
Fouled by Eric Dier  - Tottenham Hotspur,,
New attacking attempt. Ryan Shawcross  - Stoke City -  shot with left foot from the right side of the box is saved in the right corner.,,
Joe Allen  - Stoke City -  won a free kick in attack.,,
Fouled by Harry Winks  - Tottenham Hotspur,,
Fouled by Mousa Dembélé  - Tottenham Hotspur,,
Darren Fletcher  - Stoke City -  won a free kick in defence.,,
"Offside - Tottenham Hotspur. Dele Alli with a pass, however Harry Kane is in offside.",,
Corner -  Tottenham Hotspur. Conceded by Erik Pieters.,,
"Second Half starts Tottenham Hotspur 1, Stoke City 0.",,
"First Half ended - Tottenham Hotspur 1, Stoke City 0.",,
Corner -  Tottenham Hotspur. Conceded by Erik Pieters.,,
Shot blocked. Harry Kane  - Tottenham Hotspur -  shot with right foot from the centre of the box is blocked. Assist -  Kieran Trippier with a cross.,,
Missed chance. Son Heung-Min  - Tottenham Hotspur -  shot with right foot from the left side of the box is high and wide to the right.,,
"Missed chance. Harry Kane  - Tottenham Hotspur -  shot with right foot from the centre of the box is close, but missed to the left. Assist -  Son Heung-Min with a through ball.",,
Fouled by Erik Pieters  - Stoke City,,
Christian Eriksen  - Tottenham Hotspur -  won a free kick in defence.,,
"Offside - Tottenham Hotspur. Son Heung-Min with a pass, however Harry Kane is in offside.",,
Kurt Zouma  - Stoke City -  won a free kick in defence.,,
Fouled by Dele Alli  - Tottenham Hotspur,,
New attacking attempt. Mousa Dembélé  - Tottenham Hotspur -  shot with left foot from outside the box is saved by goalkeeper in the centre of the goal. Assist -  Harry Winks.,,
Corner -  Tottenham Hotspur. Conceded by Eric Maxim Choupo-Moting.,,
Corner -  Tottenham Hotspur. Conceded by Kurt Zouma.,,
Corner -  Tottenham Hotspur. Conceded by Ryan Shawcross.,,
"Offside - Tottenham Hotspur. Christian Eriksen with a pass, however Son Heung-Min is in offside.",,
New attacking attempt. Christian Eriksen  - Tottenham Hotspur -  shot with right foot from outside the box is saved in the left corner.,,
Fouled by Kevin Wimmer  - Stoke City,,
Dele Alli  - Tottenham Hotspur -  won a free kick in attack.,,
Son Heung-Min  - Tottenham Hotspur -  won a free kick on the left wing.,,
Fouled by Thomas Edwards  - Stoke City,,
New attacking attempt. Son Heung-Min  - Tottenham Hotspur -  shot with right foot from the right side of the box is saved by goalkeeper in the centre of the goal.,,
Corner -  Stoke City. Conceded by Jan Vertonghen.,,
Missed chance. Eric Maxim Choupo-Moting  - Stoke City -  shot with left foot from the left side of the box missed. Assist -  Erik Pieters.,,
"Own Goal by Ryan Shawcross, Stoke City.  Tottenham Hotspur 1, Stoke City 0.",,
Fouled by Mame Biram Diouf  - Stoke City,,
Eric Dier  - Tottenham Hotspur -  won a free kick in defence.,,
Corner -  Stoke City. Conceded by Eric Dier.,,
"Offside - Stoke City. Mame Biram Diouf with a pass, however Xherdan Shaqiri is in offside.",,
Fouled by Mousa Dembélé  - Tottenham Hotspur,,
Darren Fletcher  - Stoke City -  won a free kick in defence.,,
Harry Winks  - Tottenham Hotspur -  won a free kick in attack.,,
Fouled by Joe Allen  - Stoke City,,
New attacking attempt. Son Heung-Min  - Tottenham Hotspur -  shot with right foot from outside the box is saved by goalkeeper in the centre of the goal. Assist -  Ben Davies.,,
Fouled by Mousa Dembélé  - Tottenham Hotspur,,
Eric Maxim Choupo-Moting  - Stoke City -  won a free kick in defence.,,
Xherdan Shaqiri  - Stoke City -  won a free kick on the right wing.,,
Fouled by Mousa Dembélé  - Tottenham Hotspur,,
Corner -  Tottenham Hotspur. Conceded by Thomas Edwards.,,
Kurt Zouma  - Stoke City -  won a free kick in defence.,,
Fouled by Harry Kane  - Tottenham Hotspur,,
"Offside - Stoke City. Erik Pieters with a pass, however Xherdan Shaqiri is in offside.",,
"Offside - Tottenham Hotspur. Ben Davies with a pass, however Son Heung-Min is in offside.",,
"Thats all. Game finished -  West Ham United 1, Chelsea 0.",,
"Second Half ended - West Ham United 1, Chelsea 0.",,
Missed chance. Cesc Fàbregas  - Chelsea -  shot with right foot from outside the box goes high.,,
Arthur Masuaku  - West Ham United -  receive yellow card.,,
Missed chance. Eden Hazard  - Chelsea -  shot with left foot from outside the box goes high. Assist -  Álvaro Morata.,,
Fouled by Diafra Sakho  - West Ham United,,
Andreas Christensen  - Chelsea -  won a free kick in defence.,,
"Missed chance. Álvaro Morata  - Chelsea -  shot with right foot from the centre of the box is close, but missed to the left.",,
"Offside - West Ham United. Winston Reid with a pass, however Diafra Sakho is in offside.",,
Mark Noble  - West Ham United -  won a free kick in defence.,,
Fouled by Willian  - Chelsea,,
Substitution -  West Ham United. André Ayew for Michail Antonio  - injury.,,
Delay over. They are ready to continue.,,
Delay in match Michail Antonio  - West Ham United -   - injury.,,
Fouled by Álvaro Morata  - Chelsea,,
Adrián  - West Ham United -  won a free kick in defence.,,
Corner -  Chelsea. Conceded by Pedro Obiang.,,
Shot blocked. Eden Hazard  - Chelsea -  shot with left foot from a diffucult position on the left is blocked. Assist -  Cesc Fàbregas.,,
Shot blocked. Gary Cahill  - Chelsea -  shot with right foot from outside the box is blocked.,,
Pedro Obiang  - West Ham United -  receive yellow card for a foul.,,
N'Golo Kanté  - Chelsea -  won a free kick in attack.,,
Fouled by Pedro Obiang  - West Ham United,,
Substitution -  West Ham United. Diafra Sakho for Marko Arnautovic.,,
Mark Noble  - West Ham United -  won a free kick on the left wing.,,
Fouled by Cesc Fàbregas  - Chelsea,,
Shot blocked. Andreas Christensen  - Chelsea -  shot with right foot from the centre of the box is blocked. Assist -  Álvaro Morata with a head.,,
Aaron Cresswell  - West Ham United -  receive yellow card for a foul.,,
Willian  - Chelsea -  won a free kick on the right wing.,,
Fouled by Aaron Cresswell  - West Ham United,,
Winston Reid  - West Ham United -  receive yellow card for a foul.,,
Álvaro Morata  - Chelsea -  won a free kick in defence.,,
Fouled by Winston Reid  - West Ham United,,
Shot blocked. Michail Antonio  - West Ham United -  shot with right foot from the right side of the box is blocked. Assist -  Pedro Obiang.,,
Substitution -  Chelsea. Willian for Davide Zappacosta.,,
Corner -  West Ham United. Conceded by Victor Moses.,,
